class,numOfCorrect
http://api.stardog.com/Place,6139
http://api.stardog.com/Agent,5854
http://api.stardog.com/Work,2766
http://api.stardog.com/Language,1236
http://api.stardog.com/TopicalConcept,792
http://api.stardog.com/Disease,275
http://api.stardog.com/Event,214
http://api.stardog.com/Colour,213
http://api.stardog.com/EthnicGroup,122
http://api.stardog.com/ChemicalSubstance,119
http://api.stardog.com/MeanOfTransportation,76
http://api.stardog.com/Species,69
http://api.stardog.com/Activity,48
http://api.stardog.com/Device,36
http://api.stardog.com/Food,31
http://api.stardog.com/Award,5
http://api.stardog.com/AnatomicalStructure,4
http://api.stardog.com/Holiday,1
http://api.stardog.com/Currency,1
http://api.stardog.com/Name,1
