Test Data,Train Data,Accuracy,F1 Score,Precision,Recall,Inference Time,Training Time,If Test in Train,"Accuracy, err","F1 Score, err","Precision, err","Recall, err",N of Datasets in Train
CogComp,CogComp,"0,9083","0,9058","0,9076","0,9083","2,5951","160,6555",1,"0,0130","0,0137","0,0145","0,0130",1
CogComp,CogComp+SimpleQuestions,"0,9053","0,9043","0,9067","0,9053","2,6155","1890,2796",1,"0,0073","0,0068","0,0059","0,0073",2
CogComp,CogComp+WebQuestions,"0,8853","0,8854","0,8909","0,8853","2,6159","284,2947",1,"0,0063","0,0064","0,0059","0,0063",2
CogComp,CogComp+WebQuestions+SimpleQuestions,"0,8870","0,8887","0,8954","0,8870","2,5860","2011,1735",1,"0,0166","0,0162","0,0134","0,0166",3
CogComp,LC-QuAD,"0,4753","0,4068","0,4338","0,4753","2,5954","84,1788",0,"0,0150","0,0111","0,0353","0,0150",1
CogComp,LC-QuAD+CogComp,"0,9189","0,9181","0,9202","0,9189","2,6024","239,1666",1,"0,0028","0,0027","0,0026","0,0028",2
CogComp,LC-QuAD+CogComp+SimpleQuestions,"0,8457","0,8486","0,8723","0,8457","2,6042","1967,7564",1,"0,0144","0,0136","0,0058","0,0144",3
CogComp,LC-QuAD+CogComp+WebQuestions,"0,8507","0,8516","0,8641","0,8507","2,5999","363,6968",1,"0,0213","0,0217","0,0203","0,0213",3
CogComp,LC-QuAD+CogComp+WebQuestions+SimpleQuestions,"0,8183","0,8206","0,8545","0,8183","2,6247","2091,3029",1,"0,0130","0,0143","0,0076","0,0130",4
CogComp,LC-QuAD+QALD,"0,5558","0,5326","0,5911","0,5558","2,5902","100,5273",0,"0,0266","0,0287","0,0322","0,0266",2
CogComp,LC-QuAD+QALD+CogComp,"0,9079","0,9082","0,9117","0,9079","2,6263","255,3531",1,"0,0102","0,0106","0,0101","0,0102",3
CogComp,LC-QuAD+QALD+CogComp+SimpleQuestions,"0,8366","0,8409","0,8710","0,8366","2,6041","1984,9350",1,"0,0221","0,0215","0,0149","0,0221",4
CogComp,LC-QuAD+QALD+CogComp+WebQuestions,"0,8596","0,8610","0,8729","0,8596","2,6331","379,6834",1,"0,0170","0,0166","0,0133","0,0170",4
CogComp,LC-QuAD+QALD+CogComp+WebQuestions+SimpleQuestions,"0,7953","0,7959","0,8488","0,7953","2,6188","2108,5484",1,"0,0334","0,0399","0,0120","0,0334",5
CogComp,LC-QuAD+QALD+SimpleQuestions,"0,5472","0,5167","0,6105","0,5472","2,5980","1829,4490",0,"0,0173","0,0134","0,0510","0,0173",3
CogComp,LC-QuAD+QALD+WebQuestions,"0,5924","0,5831","0,6406","0,5924","2,6133","225,0923",0,"0,0091","0,0090","0,0085","0,0091",3
CogComp,LC-QuAD+QALD+WebQuestions+SimpleQuestions,"0,5752","0,5447","0,6281","0,5752","2,6348","1951,9333",0,"0,0104","0,0111","0,0179","0,0104",4
CogComp,LC-QuAD+SimpleQuestions,"0,4936","0,4492","0,5386","0,4936","2,6347","1810,5677",0,"0,0209","0,0129","0,0080","0,0209",2
CogComp,LC-QuAD+WebQuestions,"0,5877","0,5786","0,6530","0,5877","2,5972","208,6178",0,"0,0089","0,0089","0,0079","0,0089",2
CogComp,LC-QuAD+WebQuestions+SimpleQuestions,"0,5702","0,5500","0,6429","0,5702","2,6238","1935,8015",0,"0,0181","0,0184","0,0149","0,0181",3
CogComp,QALD,"0,2568","0,1412","0,1484","0,2568","2,5918","20,7194",0,"0,0810","0,1320","0,1984","0,0810",1
CogComp,QALD+CogComp,"0,9143","0,9138","0,9162","0,9143","2,6019","177,5519",1,"0,0078","0,0083","0,0087","0,0078",2
CogComp,QALD+CogComp+SimpleQuestions,"0,8944","0,8947","0,8982","0,8944","2,6011","1903,1669",1,"0,0107","0,0107","0,0110","0,0107",3
CogComp,QALD+CogComp+WebQuestions,"0,8834","0,8842","0,8920","0,8834","2,6332","302,0442",1,"0,0150","0,0141","0,0122","0,0150",3
CogComp,QALD+CogComp+WebQuestions+SimpleQuestions,"0,8949","0,8958","0,9010","0,8949","2,6336","2028,3086",1,"0,0099","0,0096","0,0100","0,0099",4
CogComp,QALD+SimpleQuestions,"0,5061","0,4963","0,6325","0,5061","2,6008","1747,7352",0,"0,0375","0,0306","0,0508","0,0375",2
CogComp,QALD+WebQuestions,"0,5762","0,5792","0,6483","0,5762","2,6408","146,1638",0,"0,0305","0,0274","0,0130","0,0305",2
CogComp,QALD+WebQuestions+SimpleQuestions,"0,5524","0,5424","0,6310","0,5524","2,6185","1876,6096",0,"0,0239","0,0206","0,0135","0,0239",3
CogComp,SimpleQuestions,"0,2726","0,2115","0,2745","0,2726","2,6062","1730,9292",0,"0,0142","0,0138","0,0113","0,0142",1
CogComp,WebQuestions,"0,5491","0,5526","0,6420","0,5491","2,6210","129,8773",0,"0,0240","0,0201","0,0182","0,0240",1
CogComp,WebQuestions+SimpleQuestions,"0,5317","0,5182","0,6283","0,5317","2,6226","1857,9066",0,"0,0289","0,0320","0,0288","0,0289",2
LC-QuAD,CogComp,"0,5407","0,4623","0,4516","0,5407","2,1770","160,6555",0,"0,0130","0,0201","0,0187","0,0130",1
LC-QuAD,CogComp+SimpleQuestions,"0,5823","0,5269","0,5155","0,5823","1,8498","1890,2796",0,"0,0289","0,0273","0,0265","0,0289",2
LC-QuAD,CogComp+WebQuestions,"0,5905","0,5246","0,4929","0,5905","1,8701","284,2947",0,"0,0182","0,0161","0,0156","0,0182",2
LC-QuAD,CogComp+WebQuestions+SimpleQuestions,"0,5931","0,5374","0,5236","0,5931","1,8427","2011,1735",0,"0,0137","0,0082","0,0047","0,0137",3
LC-QuAD,LC-QuAD,"0,8857","0,8669","0,8583","0,8857","1,8693","84,1788",1,"0,0062","0,0066","0,0065","0,0062",1
LC-QuAD,LC-QuAD+CogComp,"0,8831","0,8724","0,8653","0,8831","1,8446","239,1666",1,"0,0104","0,0092","0,0084","0,0104",2
LC-QuAD,LC-QuAD+CogComp+SimpleQuestions,"0,8926","0,8850","0,8805","0,8926","1,8453","1967,7564",1,"0,0058","0,0057","0,0060","0,0058",3
LC-QuAD,LC-QuAD+CogComp+WebQuestions,"0,8848","0,8789","0,8756","0,8848","1,8164","363,6968",1,"0,0072","0,0084","0,0101","0,0072",3
LC-QuAD,LC-QuAD+CogComp+WebQuestions+SimpleQuestions,"0,8922","0,8859","0,8829","0,8922","1,8508","2091,3029",1,"0,0028","0,0021","0,0026","0,0028",4
LC-QuAD,LC-QuAD+QALD,"0,9004","0,8880","0,8870","0,9004","1,8114","100,5273",1,"0,0063","0,0057","0,0091","0,0063",2
LC-QuAD,LC-QuAD+QALD+CogComp,"0,8784","0,8670","0,8606","0,8784","1,8423","255,3531",1,"0,0082","0,0072","0,0072","0,0082",3
LC-QuAD,LC-QuAD+QALD+CogComp+SimpleQuestions,"0,8918","0,8831","0,8773","0,8918","1,8614","1984,9350",1,"0,0077","0,0066","0,0064","0,0077",4
LC-QuAD,LC-QuAD+QALD+CogComp+WebQuestions,"0,8913","0,8852","0,8823","0,8913","1,8513","379,6834",1,"0,0036","0,0042","0,0055","0,0036",4
LC-QuAD,LC-QuAD+QALD+CogComp+WebQuestions+SimpleQuestions,"0,8987","0,8907","0,8854","0,8987","2,4141","2108,5484",1,"0,0042","0,0049","0,0072","0,0042",5
LC-QuAD,LC-QuAD+QALD+SimpleQuestions,"0,8974","0,8881","0,8831","0,8974","1,8417","1829,4490",1,"0,0052","0,0053","0,0059","0,0052",3
LC-QuAD,LC-QuAD+QALD+WebQuestions,"0,8810","0,8734","0,8703","0,8810","1,8420","225,0923",1,"0,0077","0,0070","0,0056","0,0077",3
LC-QuAD,LC-QuAD+QALD+WebQuestions+SimpleQuestions,"0,9013","0,8928","0,8884","0,9013","1,8559","1951,9333",1,"0,0025","0,0040","0,0049","0,0025",4
LC-QuAD,LC-QuAD+SimpleQuestions,"0,8961","0,8887","0,8913","0,8961","1,8609","1810,5677",1,"0,0109","0,0095","0,0112","0,0109",2
LC-QuAD,LC-QuAD+WebQuestions,"0,8848","0,8780","0,8776","0,8848","1,8520","208,6178",1,"0,0018","0,0023","0,0010","0,0018",2
LC-QuAD,LC-QuAD+WebQuestions+SimpleQuestions,"0,8905","0,8836","0,8840","0,8905","1,8349","1935,8015",1,"0,0086","0,0081","0,0093","0,0086",3
LC-QuAD,QALD,"0,3290","0,2206","0,2643","0,3290","1,8495","20,7194",0,"0,1690","0,2233","0,2692","0,1690",1
LC-QuAD,QALD+CogComp,"0,7312","0,7095","0,7299","0,7312","1,8246","177,5519",0,"0,0266","0,0269","0,0280","0,0266",2
LC-QuAD,QALD+CogComp+SimpleQuestions,"0,7693","0,7671","0,7842","0,7693","1,8429","1903,1669",0,"0,0175","0,0147","0,0137","0,0175",3
LC-QuAD,QALD+CogComp+WebQuestions,"0,7476","0,7457","0,7646","0,7476","1,8435","302,0442",0,"0,0195","0,0188","0,0187","0,0195",3
LC-QuAD,QALD+CogComp+WebQuestions+SimpleQuestions,"0,7935","0,7847","0,8016","0,7935","1,8685","2028,3086",0,"0,0231","0,0266","0,0247","0,0231",4
LC-QuAD,QALD+SimpleQuestions,"0,7156","0,7153","0,7604","0,7156","1,8239","1747,7352",0,"0,0663","0,0633","0,0435","0,0663",2
LC-QuAD,QALD+WebQuestions,"0,7403","0,7619","0,8020","0,7403","1,8435","146,1638",0,"0,0710","0,0643","0,0444","0,0710",2
LC-QuAD,QALD+WebQuestions+SimpleQuestions,"0,6974","0,7108","0,7846","0,6974","1,8521","1876,6096",0,"0,0830","0,0824","0,0371","0,0830",3
LC-QuAD,SimpleQuestions,"0,3290","0,2385","0,2385","0,3290","1,8285","1730,9292",0,"0,0198","0,0179","0,0113","0,0198",1
LC-QuAD,WebQuestions,"0,5277","0,5102","0,5347","0,5277","2,2499","129,8773",0,"0,0455","0,0341","0,0238","0,0455",1
LC-QuAD,WebQuestions+SimpleQuestions,"0,5260","0,4927","0,5560","0,5260","1,8553","1857,9066",0,"0,0493","0,0468","0,0072","0,0493",2
QALD,CogComp,"0,7163","0,7057","0,7773","0,7163","0,3056","160,6555",0,"0,0219","0,0271","0,0260","0,0219",1
QALD,CogComp+SimpleQuestions,"0,7333","0,7163","0,7654","0,7333","0,3106","1890,2796",0,"0,0147","0,0127","0,0187","0,0147",2
QALD,CogComp+WebQuestions,"0,7830","0,7764","0,8270","0,7830","0,3103","284,2947",0,"0,0155","0,0128","0,0132","0,0155",2
QALD,CogComp+WebQuestions+SimpleQuestions,"0,7546","0,7451","0,7983","0,7546","0,3069","2011,1735",0,"0,0216","0,0207","0,0225","0,0216",3
QALD,LC-QuAD,"0,6794","0,6008","0,5486","0,6794","0,3096","84,1788",0,"0,0232","0,0191","0,0169","0,0232",1
QALD,LC-QuAD+CogComp,"0,8000","0,7786","0,8104","0,8000","0,3092","239,1666",0,"0,0092","0,0098","0,0503","0,0092",2
QALD,LC-QuAD+CogComp+SimpleQuestions,"0,8340","0,8058","0,7937","0,8340","0,3077","1967,7564",0,"0,0238","0,0219","0,0128","0,0238",3
QALD,LC-QuAD+CogComp+WebQuestions,"0,8482","0,8457","0,8874","0,8482","0,3047","363,6968",0,"0,0210","0,0219","0,0329","0,0210",3
