Test Data,Train Data,Accuracy,F1 Score,Precision,Recall,Inference Time,Training Time,If Test in Train,"Accuracy, err","F1 Score, err","Precision, err","Recall, err",N of Datasets in Train
CogComp,CogComp,"0,8721","0,8706","0,8754","0,8721","4,9861","313,4577",1,"0,0187","0,0187","0,0189","0,0187",1
CogComp,CogComp+SimpleQuestions,"0,8643","0,8609","0,8699","0,8643","5,0970","3692,4226",1,"0,0239","0,0253","0,0222","0,0239",2
CogComp,CogComp+WebQuestions,"0,8828","0,8812","0,8853","0,8828","5,1053","558,4678",1,"0,0243","0,0242","0,0219","0,0243",2
CogComp,CogComp+WebQuestions+SimpleQuestions,"0,9054","0,9046","0,9079","0,9054","5,0915","3937,8810",1,"0,0227","0,0236","0,0235","0,0227",3
CogComp,LC-QuAD,"0,4372","0,3908","0,4628","0,4372","4,9899","164,4754",0,"0,0400","0,0240","0,0377","0,0400",1
CogComp,LC-QuAD+CogComp,"0,8839","0,8833","0,8875","0,8839","5,0324","465,1841",1,"0,0152","0,0149","0,0143","0,0152",2
CogComp,LC-QuAD+CogComp+SimpleQuestions,"0,8183","0,8192","0,8521","0,8183","5,0840","3841,3149",1,"0,0413","0,0414","0,0293","0,0413",3
CogComp,LC-QuAD+CogComp+WebQuestions,"0,9002","0,8993","0,9018","0,9002","5,0936","709,5535",1,"0,0274","0,0287","0,0285","0,0274",3
CogComp,LC-QuAD+CogComp+WebQuestions+SimpleQuestions,"0,8259","0,8293","0,8603","0,8259","5,0540","4083,1656",1,"0,0303","0,0283","0,0143","0,0303",4
CogComp,LC-QuAD+QALD,"0,4832","0,4500","0,5369","0,4832","4,9704","196,7963",0,"0,0269","0,0236","0,0575","0,0269",2
CogComp,LC-QuAD+QALD+CogComp,"0,8996","0,8999","0,9034","0,8996","5,0342","498,9568",1,"0,0314","0,0312","0,0293","0,0314",3
CogComp,LC-QuAD+QALD+CogComp+SimpleQuestions,"0,8257","0,8298","0,8671","0,8257","5,0718","3878,0799",1,"0,0707","0,0646","0,0287","0,0707",4
CogComp,LC-QuAD+QALD+CogComp+WebQuestions,"0,8938","0,8929","0,8973","0,8938","5,0753","744,4419",1,"0,0266","0,0273","0,0244","0,0266",4
CogComp,LC-QuAD+QALD+CogComp+WebQuestions+SimpleQuestions,"0,8311","0,8343","0,8593","0,8311","5,0762","4118,6643",1,"0,0421","0,0393","0,0267","0,0421",5
CogComp,LC-QuAD+QALD+SimpleQuestions,"0,5155","0,4850","0,5517","0,5155","5,0696","3572,1835",0,"0,0129","0,0090","0,0325","0,0129",3
CogComp,LC-QuAD+QALD+WebQuestions,"0,5423","0,5253","0,5772","0,5423","5,1070","439,1810",0,"0,0136","0,0178","0,0332","0,0136",3
CogComp,LC-QuAD+QALD+WebQuestions+SimpleQuestions,"0,5527","0,5151","0,5970","0,5527","5,0827","3820,3177",0,"0,0232","0,0215","0,0154","0,0232",4
CogComp,LC-QuAD+SimpleQuestions,"0,4866","0,4419","0,5650","0,4866","5,0925","3529,6902",0,"0,0114","0,0102","0,0637","0,0114",2
CogComp,LC-QuAD+WebQuestions,"0,5111","0,4861","0,5696","0,5111","5,0074","406,0675",0,"0,0180","0,0208","0,0220","0,0180",2
CogComp,LC-QuAD+WebQuestions+SimpleQuestions,"0,5389","0,5070","0,6147","0,5389","5,1020","3777,8375",0,"0,0336","0,0252","0,0614","0,0336",3
CogComp,QALD,"0,2188","0,0796","0,0541","0,2188","5,0141","29,9735",0,"0,0004","0,0025","0,0140","0,0004",1
CogComp,QALD+CogComp,"0,8785","0,8769","0,8808","0,8785","5,1089","347,6887",1,"0,0150","0,0169","0,0195","0,0150",2
CogComp,QALD+CogComp+SimpleQuestions,"0,8960","0,8954","0,8991","0,8960","5,0811","3720,4021",1,"0,0160","0,0150","0,0135","0,0160",3
CogComp,QALD+CogComp+WebQuestions,"0,9200","0,9199","0,9237","0,9200","5,0844","588,5798",1,"0,0232","0,0243","0,0210","0,0232",3
CogComp,QALD+CogComp+WebQuestions+SimpleQuestions,"0,8889","0,8872","0,8908","0,8889","5,0467","3955,6528",1,"0,0226","0,0226","0,0215","0,0226",4
CogComp,QALD+SimpleQuestions,"0,5007","0,4814","0,5973","0,5007","5,1066","3416,8867",0,"0,0177","0,0143","0,0464","0,0177",2
CogComp,QALD+WebQuestions,"0,5563","0,5510","0,6266","0,5563","5,1086","285,5550",0,"0,0328","0,0314","0,0201","0,0328",2
